,name,lon,lat
0,Vatican City,12.453386544971766,41.903282179960115
1,San Marino,12.441770157800141,43.936095834768004
2,Vaduz,9.516669472907267,47.13372377429357
3,Luxembourg,6.130002806227083,49.611660379121076
4,Palikir,158.1499743237623,6.916643696007725
5,Majuro,171.38000017574655,7.103004311216239
6,Funafuti,179.21664709402887,-8.516651999041073
7,Melekeok,134.62654846699218,7.487396172977981
8,Monaco,7.406913173465057,43.73964568785249
9,Tarawa,173.01757082854942,1.338187505624603
10,Moroni,43.240244098693324,-11.70415769566847
11,Andorra,1.5164859605055199,42.5000014435459
12,Port-of-Spain,-61.51703088544974,10.651997089577264
13,Kigali,30.058585919064114,-1.9516442100632503
14,Mbabane,31.133334512056365,-26.316650778409212
15,Juba,31.580025592787308,4.829975198277964
16,Ljubljana,14.51496903347413,46.0552883087945
17,Bratislava,17.11698075223461,48.15001832996171
18,Doha,51.532967894299304,25.286556008906587
19,Podgorica,19.266306924118226,42.465972512881706
20,Bern,7.466975462482424,46.91668275866772
21,Pristina,21.165984251599866,42.666709614119384
22,Roseau,-61.387012981803366,15.301015644283325
23,Djibouti,43.148001667052256,11.595014464255485
24,Banjul,-16.591701489212596,13.45387646031594
25,Skopje,21.4334614651425,42.00000612290586
26,Bridgetown,-59.61652673505159,13.10200258275114
27,Bujumbura,29.360006061528395,-3.376087220374643
28,Kingstown,-61.212062420279324,13.14827882786841
29,Castries,-61.00000818036955,14.00197348933034
30,Basseterre,-62.71700931969934,17.302030455489387
31,Port Louis,57.49999385460973,-20.166638571353246
32,Saint George's,-61.74164322607476,12.052633401720414
33,Manama,50.58305171591019,26.236136290485945
34,Saint John's,-61.85003381513866,17.118036518314113
35,Montevideo,-56.17299814703597,-34.856095707590725
36,Lome,1.22081126074562,6.133882930268385
37,Tunis,10.179678099212026,36.80277813623144
38,Abu Dhabi,54.36659338259199,24.466683572379907
39,Ashgabat,58.38329911177465,37.949994933110986
40,Lusaka,28.28138173611427,-15.414698409335926
41,Harare,31.042763572062825,-17.815843835777798
42,Dili,125.57945593170507,-8.559388408546454
43,Port Vila,168.31664058356864,-17.733350404025828
44,Tegucigalpa,-87.2194751979415,14.103990759076396
45,Georgetown,-58.167028647480606,6.8019736927520285
46,Reykjavík,-21.950014487179544,64.15002361973922
47,Port-au-Prince,-72.33798044690553,18.54297045473237
48,Kampala,32.581377667121046,0.318604813383331
49,Paramaribo,-55.16703088542437,5.835030129922586
50,Niamey,2.114710186530374,13.51865181050647
51,Dushanbe,68.77387935270173,38.56003521631658
52,Asuncion,-57.643451027901335,-25.294457117057675
53,Managua,-86.27043751890119,12.154962438756115
54,Freetown,-13.236161599012746,8.471957271098177
55,Islamabad,73.16468862105955,33.70194180895959
56,Kathmandu,85.31469635222788,27.718637772477223
57,Bloemfontein,26.22991288117737,-29.119993877378704
58,Pretoria,28.22748321723384,-25.704974695184433
59,Port Moresby,147.19250362059358,-9.464707825867777
60,Honiara,159.94976573360566,-9.437994295089595
61,Panama City,-79.53498301041077,8.969963049094872
62,Rabat,-6.83640815612614,34.02530731107282
63,Chisinau,28.85771113965143,47.005023619670624
64,Maputo,32.58721710397009,-25.953331628778983
65,Mogadishu,45.36473175245874,2.068627192947531
66,Muscat,58.593312132608844,23.613324807728134
67,Colombo,79.85775060925641,6.931965758182116
68,Ulaanbaatar,106.91466990374653,47.91861925856074
69,Wellington,174.78327429127694,-41.29997393927641
70,Windhoek,17.08354610054181,-22.570006084383806
71,Abuja,7.53138214293233,9.085279007754195
72,Bissau,-15.598360841320755,11.865023822980561
73,Amman,35.93135406687412,31.951971105827454
74,Vilnius,25.3166352932829,54.68336631175862
75,Riga,24.099965371403187,56.95002382316096
76,Bishkek,74.58325836390367,42.875025305090105
77,Maseru,27.483273069984477,-29.316674378681626
78,Antananarivo,47.51467804152986,-18.914691492032148
79,Quito,-78.5019969671124,-0.2130423220355624
80,San Jose,-84.08599721127536,9.936958288356607
81,San Salvador,-89.2049870794599,13.711947505494038
82,Kingston,-76.7674337136691,17.977076623830897
83,Ndjamena,15.047202455462298,12.115042394810644
84,Malabo,8.783277545821136,3.750015278026183
85,Asmara,38.933323525759306,15.333339252681924
86,Zagreb,15.999994668245677,45.80000673327254
87,Tallinn,24.72804072947855,59.43387737948592
88,Lilongwe,33.78330195998353,-13.983295065469179
89,Guatemala,-90.52891143656154,14.623080521448173
90,Libreville,9.457965045823698,0.3853886097185182
91,Suva,178.44170731537986,-18.133015931371233
92,Nouakchott,-15.975340414890013,18.086427021247516
93,Bamako,-8.001984963249697,12.65196052632325
94,Beirut,35.507762351377664,33.8739209756269
95,Tbilisi,44.788849590997984,41.72695584707759
96,Astana,71.427774209483,51.18112530425759
97,Vientiane,102.59998002015476,17.96669272762739
98,Brazzaville,15.282743633848668,-4.257239913197509
99,Conakry,-13.682180886123945,9.53346870502179
100,Yamoussoukro,-5.275502564912301,6.8183809600046175
101,Ottawa,-75.70196115980951,45.41864265536043
102,Belgrade,20.466044822020535,44.82059130444674
103,Bandar Seri Begawan,114.93328405666227,4.883331114619239
104,Sucre,-65.25951562667564,-19.04097084673947
105,Belmopan,-88.76707299981655,17.252033507246892
106,Bangui,18.558288125287277,4.366644306349087
107,Yaounde,11.514704896854425,3.868646520754112
108,Tirana,19.81888301461521,41.327540709491586
109,Yerevan,44.51160553175208,40.18309659414189
110,Baku,49.860271303257775,40.39721789134302
111,Phnom Penh,104.91468862118643,11.55197598855841
112,La Paz,-68.15193104910219,-16.49602775504337
113,Cotonou,2.518044740568598,6.401954422782467
