date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200101,5,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,5,AQI,42.0,45.0,49.0,89.0,55.0,33.0,48.0,48.0,,34.0,41.0,43.0,43.0,34.0,33.0,44.0,29.0,48.0,29.0,44.0,34.0,26.0,70.0,39.0,95.0,26.0,66.0,79.0,89.0,60.0,53.0,47.0,50.0,50.0,37.0
20200101,6,PM2.5,31.0,28.0,33.0,29.0,32.0,22.0,34.0,29.0,,24.0,7.0,28.0,22.0,24.0,22.0,22.0,16.0,23.0,20.0,26.0,19.0,11.0,47.0,34.0,51.0,18.0,38.0,53.0,56.0,38.0,32.0,30.0,41.0,30.0,22.0
20200101,6,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,6,PM10,54.0,51.0,59.0,48.0,63.0,36.0,55.0,54.0,,44.0,48.0,35.0,42.0,37.0,23.0,39.0,21.0,53.0,26.0,34.0,27.0,27.0,60.0,51.0,129.0,21.0,,123.0,117.0,63.0,40.0,47.0,60.0,55.0,28.0
20200101,6,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,6,AQI,52.0,51.0,55.0,48.0,57.0,36.0,53.0,52.0,,44.0,48.0,40.0,42.0,37.0,31.0,39.0,23.0,52.0,29.0,37.0,27.0,27.0,65.0,51.0,90.0,26.0,54.0,87.0,84.0,57.0,46.0,47.0,58.0,53.0,31.0
20200101,7,PM2.5,27.0,31.0,34.0,18.0,22.0,22.0,36.0,26.0,,25.0,7.0,27.0,22.0,25.0,25.0,20.0,22.0,30.0,17.0,29.0,20.0,12.0,46.0,27.0,55.0,22.0,34.0,53.0,49.0,44.0,29.0,28.0,35.0,32.0,20.0
20200101,7,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,7,PM10,47.0,61.0,64.0,57.0,44.0,40.0,71.0,54.0,,48.0,42.0,43.0,47.0,47.0,36.0,32.0,23.0,63.0,28.0,36.0,28.0,31.0,57.0,51.0,86.0,22.0,35.0,140.0,106.0,72.0,37.0,53.0,48.0,61.0,42.0
20200101,7,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,7,AQI,47.0,56.0,57.0,54.0,44.0,40.0,61.0,52.0,,48.0,42.0,43.0,47.0,47.0,36.0,32.0,31.0,57.0,28.0,41.0,29.0,31.0,64.0,51.0,75.0,31.0,49.0,95.0,78.0,61.0,41.0,52.0,50.0,56.0,42.0
20200101,8,PM2.5,24.0,28.0,25.0,27.0,15.0,22.0,36.0,28.0,,30.0,8.0,34.0,26.0,26.0,24.0,24.0,19.0,32.0,19.0,29.0,19.0,13.0,46.0,29.0,54.0,17.0,30.0,52.0,47.0,35.0,30.0,24.0,36.0,30.0,20.0
20200101,8,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,8,PM10,29.0,55.0,53.0,53.0,31.0,32.0,76.0,59.0,,61.0,34.0,60.0,59.0,48.0,34.0,37.0,25.0,64.0,30.0,37.0,29.0,35.0,57.0,57.0,74.0,23.0,33.0,124.0,98.0,65.0,,37.0,51.0,64.0,32.0
20200101,8,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,8,AQI,34.0,53.0,52.0,52.0,31.0,32.0,63.0,55.0,,56.0,34.0,55.0,55.0,48.0,34.0,37.0,27.0,57.0,30.0,41.0,29.0,35.0,64.0,54.0,74.0,24.0,43.0,87.0,74.0,58.0,43.0,37.0,51.0,57.0,32.0
20200101,9,PM2.5,24.0,28.0,26.0,24.0,19.0,22.0,37.0,28.0,,33.0,11.0,39.0,25.0,27.0,26.0,20.0,22.0,37.0,22.0,27.0,24.0,13.0,51.0,31.0,56.0,14.0,29.0,81.0,41.0,39.0,28.0,22.0,27.0,27.0,21.0
20200101,9,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,9,PM10,43.0,43.0,48.0,41.0,31.0,41.0,83.0,81.0,,73.0,32.0,61.0,62.0,68.0,37.0,43.0,27.0,78.0,43.0,35.0,35.0,36.0,65.0,63.0,79.0,25.0,50.0,132.0,79.0,105.0,32.0,46.0,36.0,56.0,28.0
20200101,9,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,9,AQI,43.0,43.0,48.0,41.0,31.0,41.0,67.0,66.0,,62.0,32.0,56.0,56.0,59.0,37.0,43.0,31.0,64.0,43.0,39.0,35.0,36.0,70.0,57.0,76.0,25.0,50.0,108.0,65.0,78.0,40.0,46.0,39.0,53.0,30.0
20200101,10,PM2.5,22.0,26.0,21.0,23.0,19.0,22.0,35.0,33.0,,34.0,15.0,37.0,25.0,31.0,20.0,21.0,23.0,46.0,25.0,32.0,25.0,16.0,70.0,39.0,58.0,21.0,34.0,43.0,45.0,36.0,26.0,25.0,24.0,24.0,19.0
20200101,10,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,10,PM10,52.0,38.0,34.0,38.0,32.0,36.0,52.0,56.0,,70.0,53.0,59.0,54.0,71.0,34.0,44.0,25.0,81.0,36.0,50.0,33.0,40.0,85.0,68.0,83.0,22.0,46.0,85.0,76.0,84.0,29.0,44.0,36.0,43.0,49.0
20200101,10,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,10,AQI,51.0,38.0,34.0,38.0,32.0,36.0,51.0,53.0,,60.0,52.0,55.0,52.0,61.0,34.0,44.0,33.0,66.0,36.0,50.0,36.0,40.0,94.0,59.0,79.0,30.0,49.0,68.0,63.0,67.0,37.0,44.0,36.0,43.0,49.0
20200101,11,PM2.5,27.0,28.0,27.0,28.0,22.0,25.0,36.0,39.0,,34.0,17.0,37.0,30.0,35.0,25.0,23.0,23.0,44.0,23.0,39.0,21.0,11.0,64.0,38.0,67.0,19.0,35.0,37.0,33.0,33.0,28.0,26.0,30.0,,19.0
20200101,11,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,11,PM10,45.0,52.0,45.0,36.0,42.0,42.0,55.0,57.0,,64.0,67.0,57.0,70.0,54.0,34.0,46.0,31.0,88.0,32.0,51.0,27.0,32.0,87.0,65.0,89.0,,36.0,,64.0,50.0,,45.0,47.0,,38.0
20200101,11,PM10_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200101,11,AQI,45.0,51.0,45.0,40.0,42.0,42.0,53.0,55.0,,57.0,59.0,54.0,60.0,52.0,36.0,46.0,33.0,69.0,33.0,55.0,30.0,32.0,86.0,58.0,90.0,27.0,50.0,53.0,57.0,50.0,40.0,45.0,47.0,,38.0
20200101,12,PM2.5,33.0,35.0,32.0,28.0,,32.0,38.0,45.0,,36.0,23.0,41.0,34.0,40.0,34.0,22.0,21.0,46.0,32.0,35.0,17.0,10.0,62.0,41.0,66.0,18.0,30.0,34.0,37.0,37.0,35.0,50.0,35.0,32.0,24.0
20200101,12,PM2.5_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
