time,level,lat,lon,pressure,wind,number,name
2010-03-22 06:00,热带低压,7.9,142.6,1004,15,201001,Omais
2010-03-22 12:00,热带低压,8.4,141.8,1004,15,201001,Omais
2010-03-22 18:00,热带低压,8.9,140.7,1002,15,201001,Omais
2010-03-23 00:00,热带低压,9.5,139.6,1002,15,201001,Omais
2010-03-23 06:00,热带低压,10.1,138.7,1002,15,201001,Omais
2010-03-23 12:00,热带低压,10.6,137.4,1002,15,201001,Omais
2010-03-23 18:00,热带低压,10.9,136.4,1002,15,201001,Omais
2010-03-24 00:00,热带低压,11.6,135.5,1000,15,201001,Omais
2010-03-24 06:00,热带低压,12.3,134.5,1000,15,201001,Omais
2010-03-24 12:00,热带风暴,13.3,133.4,998,18,201001,Omais
2010-03-24 18:00,热带风暴,14.1,132.6,998,18,201001,Omais
2010-03-25 00:00,热带风暴,14.8,132.3,998,18,201001,Omais
2010-03-25 06:00,热带风暴,15.4,132.1,998,18,201001,Omais
2010-03-25 12:00,热带风暴,16.2,132.1,998,18,201001,Omais
2010-03-25 18:00,热带风暴,17.0,132.2,998,18,201001,Omais
2010-03-26 00:00,热带风暴,17.4,131.6,1000,18,201001,Omais
2010-03-26 06:00,热带低压,17.6,131.8,1004,15,201001,Omais
2010-03-26 12:00,热带低压,17.7,132.1,1006,13,201001,Omais
2010-07-11 12:00,热带低压,13.6,132.6,1006,13,201002,Conson
2010-07-11 18:00,热带低压,14.0,131.8,1002,15,201002,Conson
2010-07-12 00:00,热带风暴,14.3,130.4,998,18,201002,Conson
2010-07-12 06:00,强热带风暴,14.2,129.3,990,25,201002,Conson
2010-07-12 12:00,强热带风暴,14.3,127.7,980,30,201002,Conson
2010-07-12 18:00,台风,14.3,126.4,975,33,201002,Conson
2010-07-13 00:00,台风,14.3,124.8,970,35,201002,Conson
2010-07-13 06:00,台风,14.3,123.5,970,35,201002,Conson
2010-07-13 12:00,台风,14.5,122.3,970,35,201002,Conson
2010-07-13 18:00,强热带风暴,14.4,121.1,980,30,201002,Conson
2010-07-14 00:00,强热带风暴,14.7,119.7,980,30,201002,Conson
2010-07-14 06:00,强热带风暴,15.4,118.4,990,25,201002,Conson
2010-07-14 12:00,强热带风暴,16.0,117.6,990,25,201002,Conson
