time,level,lat,lon,pressure,wind,number,name
2011-05-06 12:00,热带低压,11.7,128.2,1002,15,201101,Aere
2011-05-06 18:00,热带低压,11.9,127.3,1000,15,201101,Aere
2011-05-07 00:00,热带低压,12.5,126.6,1000,15,201101,Aere
2011-05-07 06:00,热带风暴,12.9,126.0,998,18,201101,Aere
2011-05-07 12:00,热带风暴,13.2,125.3,990,20,201101,Aere
2011-05-07 18:00,热带风暴,13.5,124.7,990,20,201101,Aere
2011-05-08 00:00,热带风暴,13.8,124.1,990,23,201101,Aere
2011-05-08 06:00,热带风暴,14.5,123.6,990,23,201101,Aere
2011-05-08 12:00,热带风暴,15.1,123.0,990,23,201101,Aere
2011-05-08 18:00,热带风暴,15.6,122.8,990,23,201101,Aere
2011-05-09 00:00,热带风暴,16.4,122.5,990,23,201101,Aere
2011-05-09 06:00,热带风暴,17.2,122.2,995,20,201101,Aere
2011-05-09 12:00,热带风暴,18.0,122.2,995,18,201101,Aere
2011-05-09 18:00,热带风暴,19.0,122.3,995,18,201101,Aere
2011-05-10 00:00,热带风暴,20.3,122.5,995,18,201101,Aere
2011-05-10 06:00,热带风暴,21.1,122.9,995,18,201101,Aere
2011-05-10 12:00,热带风暴,22.3,123.8,995,18,201101,Aere
2011-05-10 18:00,热带风暴,23.5,124.8,995,18,201101,Aere
2011-05-11 00:00,热带风暴,25.1,126.2,995,18,201101,Aere
2011-05-11 06:00,热带风暴,26.6,127.6,995,18,201101,Aere
2011-05-11 12:00,热带风暴,28.4,129.5,995,18,201101,Aere
2011-05-11 18:00,热带风暴,30.0,132.0,995,18,201101,Aere
2011-05-12 00:00,热带低压,31.2,134.6,998,16,201101,Aere
2011-05-12 06:00,热带低压,32.7,137.2,998,16,201101,Aere
2011-05-12 12:00,热带低压,34.5,140.7,998,16,201101,Aere
2011-05-12 18:00,温带气旋,36.4,143.3,998,16,201101,Aere
2011-05-13 00:00,温带气旋,37.9,145.8,988,20,201101,Aere
2011-05-13 06:00,温带气旋,39.2,148.1,986,20,201101,Aere
2011-05-13 12:00,温带气旋,41.1,150.7,986,20,201101,Aere
2011-05-19 18:00,热带低压,8.3,141.5,1006,15,201102,Songda
2011-05-20 00:00,热带低压,8.3,141.1,1006,15,201102,Songda
2011-05-20 06:00,热带低压,8.3,140.6,1004,15,201102,Songda
2011-05-20 12:00,热带低压,8.4,140.0,1004,15,201102,Songda
2011-05-20 18:00,热带低压,8.5,139.3,1004,15,201102,Songda
2011-05-21 00:00,热带低压,8.6,138.8,1004,15,201102,Songda
2011-05-21 06:00,热带低压,8.9,138.2,1002,15,201102,Songda
2011-05-21 12:00,热带低压,9.1,137.8,1000,15,201102,Songda
2011-05-21 18:00,热带风暴,9.4,137.4,998,18,201102,Songda
2011-05-22 00:00,热带风暴,9.7,136.9,995,20,201102,Songda
2011-05-22 06:00,热带风暴,9.9,136.3,990,23,201102,Songda
2011-05-22 12:00,强热带风暴,10.2,135.8,990,25,201102,Songda
2011-05-22 18:00,强热带风暴,10.5,135.0,990,25,201102,Songda
2011-05-23 00:00,强热带风暴,10.9,134.0,985,28,201102,Songda
2011-05-23 06:00,强热带风暴,11.2,133.2,985,28,201102,Songda
2011-05-23 12:00,强热带风暴,11.4,132.4,985,28,201102,Songda
2011-05-23 18:00,强热带风暴,11.6,131.7,985,28,201102,Songda
2011-05-24 00:00,强热带风暴,11.9,131.0,985,28,201102,Songda
2011-05-24 06:00,强热带风暴,12.3,130.2,980,30,201102,Songda
2011-05-24 12:00,台风,12.4,129.4,975,33,201102,Songda
2011-05-24 18:00,台风,12.1,128.8,970,35,201102,Songda
2011-05-25 00:00,台风,12.3,128.2,965,40,201102,Songda
2011-05-25 06:00,强台风,12.6,127.8,950,45,201102,Songda
2011-05-25 12:00,强台风,13.1,127.5,950,45,201102,Songda
2011-05-25 18:00,强台风,13.8,127.2,945,50,201102,Songda
2011-05-26 00:00,强台风,14.7,126.5,940,50,201102,Songda
2011-05-26 06:00,超强台风,15.6,125.8,920,60,201102,Songda
2011-05-26 12:00,超强台风,16.2,125.1,910,65,201102,Songda
