time,level,lat,lon,pressure,wind,number,name
2000-05-05 00:00,热带低压,9.6,136.0,1004,15,200001,Damrey
2000-05-05 06:00,热带低压,9.9,135.0,1004,15,200001,Damrey
2000-05-05 12:00,热带低压,10.2,134.4,1004,15,200001,Damrey
2000-05-05 18:00,热带低压,10.7,133.7,1002,15,200001,Damrey
2000-05-06 00:00,热带低压,11.1,133.0,1002,15,200001,Damrey
2000-05-06 06:00,热带低压,11.8,132.3,1002,15,200001,Damrey
2000-05-06 12:00,热带低压,12.5,132.1,1000,15,200001,Damrey
2000-05-06 18:00,热带低压,13.0,131.8,1000,15,200001,Damrey
2000-05-07 00:00,热带风暴,13.2,131.6,995,20,200001,Damrey
2000-05-07 06:00,强热带风暴,13.4,131.3,985,25,200001,Damrey
2000-05-07 12:00,强热带风暴,13.7,131.2,980,28,200001,Damrey
2000-05-07 18:00,强热带风暴,13.8,131.3,980,30,200001,Damrey
2000-05-08 00:00,台风,14.0,131.5,975,33,200001,Damrey
2000-05-08 06:00,台风,14.3,132.0,970,35,200001,Damrey
2000-05-08 12:00,台风,14.6,132.4,970,35,200001,Damrey
2000-05-08 18:00,台风,15.1,133.0,965,40,200001,Damrey
2000-05-09 00:00,强台风,15.6,133.5,955,45,200001,Damrey
2000-05-09 06:00,强台风,16.4,134.4,945,50,200001,Damrey
2000-05-09 12:00,强台风,17.3,135.3,940,50,200001,Damrey
2000-05-09 18:00,强台风,18.7,136.0,935,50,200001,Damrey
2000-05-10 00:00,强台风,19.5,136.8,935,50,200001,Damrey
2000-05-10 06:00,强台风,20.8,137.8,945,45,200001,Damrey
2000-05-10 12:00,台风,22.2,138.8,955,40,200001,Damrey
2000-05-10 18:00,台风,23.0,139.5,955,40,200001,Damrey
2000-05-11 00:00,台风,23.7,139.9,965,35,200001,Damrey
2000-05-11 06:00,强热带风暴,25.1,141.1,975,30,200001,Damrey
2000-05-11 12:00,强热带风暴,26.0,142.0,980,28,200001,Damrey
2000-05-11 18:00,强热带风暴,26.9,143.5,980,25,200001,Damrey
2000-05-12 00:00,热带风暴,27.7,145.9,990,20,200001,Damrey
2000-05-12 06:00,热带风暴,28.3,147.9,995,18,200001,Damrey
2000-05-12 12:00,温带气旋,28.4,149.5,998,15,200001,Damrey
2000-05-17 12:00,热带扰动,16.0,119.2,1002,10,200002,Longwang
2000-05-17 18:00,热带低压,16.1,120.5,1000,12,200002,Longwang
2000-05-18 00:00,热带低压,16.2,121.2,1000,12,200002,Longwang
2000-05-18 06:00,热带低压,17.9,122.5,998,12,200002,Longwang
2000-05-18 12:00,热带低压,19.0,123.3,998,12,200002,Longwang
2000-05-18 18:00,热带低压,20.4,124.5,998,15,200002,Longwang
2000-05-19 00:00,热带风暴,21.3,125.5,995,20,200002,Longwang
2000-05-19 06:00,热带风暴,22.3,126.9,995,20,200002,Longwang
2000-05-19 12:00,热带风暴,23.2,128.6,995,20,200002,Longwang
2000-05-19 18:00,热带风暴,24.7,130.8,990,23,200002,Longwang
2000-05-20 00:00,热带风暴,26.4,135.0,995,20,200002,Longwang
2000-05-20 06:00,温带气旋,28.2,139.0,998,15,200002,Longwang
2000-05-20 12:00,温带气旋,30.2,142.0,1000,15,200002,Longwang
2000-05-20 18:00,温带气旋,31.3,144.8,1000,15,200002,Longwang
2000-05-21 00:00,温带气旋,33.5,146.8,1000,15,200002,Longwang
2000-07-02 12:00,热带低压,14.0,133.0,1002,15,200003,Kirogi
2000-07-02 18:00,热带低压,14.4,132.4,1000,15,200003,Kirogi
2000-07-03 00:00,热带风暴,15.3,132.0,995,20,200003,Kirogi
2000-07-03 06:00,热带风暴,16.2,132.0,995,20,200003,Kirogi
2000-07-03 12:00,强热带风暴,16.7,131.7,985,25,200003,Kirogi
2000-07-03 18:00,强热带风暴,17.1,131.6,980,30,200003,Kirogi
2000-07-04 00:00,台风,17.3,131.7,975,33,200003,Kirogi
2000-07-04 06:00,台风,18.3,131.7,960,40,200003,Kirogi
2000-07-04 12:00,台风,19.1,131.6,960,40,200003,Kirogi
2000-07-04 18:00,台风,20.0,131.4,960,40,200003,Kirogi
2000-07-05 00:00,强台风,20.6,132.0,950,45,200003,Kirogi
2000-07-05 06:00,强台风,21.7,132.5,950,45,200003,Kirogi
2000-07-05 12:00,强台风,22.4,133.0,950,45,200003,Kirogi
2000-07-05 18:00,台风,23.3,133.6,960,40,200003,Kirogi
2000-07-06 00:00,台风,24.2,134.2,960,40,200003,Kirogi
2000-07-06 06:00,台风,24.8,134.7,960,40,200003,Kirogi
2000-07-06 12:00,台风,25.6,135.5,960,40,200003,Kirogi
2000-07-06 18:00,台风,26.8,136.0,960,40,200003,Kirogi
2000-07-07 00:00,台风,28.1,136.7,970,35,200003,Kirogi
2000-07-07 06:00,台风,29.9,137.7,970,35,200003,Kirogi
2000-07-07 12:00,台风,31.9,138.8,970,35,200003,Kirogi
2000-07-07 18:00,台风,34.1,139.9,970,35,200003,Kirogi
2000-07-08 00:00,台风,36.5,141.4,975,33,200003,Kirogi
2000-07-08 06:00,强热带风暴,39.2,142.9,980,30,200003,Kirogi
2000-07-08 12:00,强热带风暴,41.2,144.0,985,25,200003,Kirogi
2000-07-08 18:00,强热带风暴,42.0,144.6,985,25,200003,Kirogi
2000-07-09 00:00,强热带风暴,42.1,146.5,985,25,200003,Kirogi
2000-07-02 12:00,热带低压,15.3,117.2,1002,12,200004,Kai-tak
2000-07-02 18:00,热带低压,15.7,117.5,1002,12,200004,Kai-tak
2000-07-03 00:00,热带低压,15.9,117.8,1000,12,200004,Kai-tak
2000-07-03 06:00,热带低压,16.0,118.3,998,15,200004,Kai-tak
2000-07-03 12:00,热带低压,16.1,118.8,998,15,200004,Kai-tak
2000-07-03 18:00,热带低压,16.2,119.1,998,15,200004,Kai-tak
2000-07-04 00:00,热带低压,16.5,119.5,998,15,200004,Kai-tak
2000-07-04 06:00,热带低压,17.3,120.1,995,15,200004,Kai-tak
2000-07-04 12:00,热带低压,18.4,120.6,995,15,200004,Kai-tak
2000-07-04 18:00,热带低压,18.8,120.7,995,15,200004,Kai-tak
2000-07-05 00:00,热带低压,18.8,120.7,995,15,200004,Kai-tak
2000-07-05 06:00,热带低压,18.8,120.7,995,15,200004,Kai-tak
2000-07-05 12:00,热带低压,19.1,120.3,995,15,200004,Kai-tak
2000-07-05 18:00,热带风暴,19.5,120.1,990,20,200004,Kai-tak
2000-07-06 00:00,强热带风暴,19.6,119.9,985,25,200004,Kai-tak
2000-07-06 06:00,强热带风暴,19.7,119.6,980,28,200004,Kai-tak
2000-07-06 12:00,强热带风暴,20.0,119.1,975,30,200004,Kai-tak
2000-07-06 18:00,强热带风暴,20.1,118.7,975,30,200004,Kai-tak
2000-07-07 00:00,台风,19.5,118.3,970,33,200004,Kai-tak
2000-07-07 06:00,台风,19.7,118.7,970,35,200004,Kai-tak
