time,level,lat,lon,pressure,wind,number,name
2009-05-01 12:00,热带低压,12.8,124.0,1006,13,200901,Kujira
2009-05-01 18:00,热带低压,12.9,124.2,1004,13,200901,Kujira
2009-05-02 00:00,热带低压,13.0,124.3,1004,13,200901,Kujira
2009-05-02 06:00,热带低压,13.2,124.4,1002,15,200901,Kujira
2009-05-02 12:00,热带低压,13.4,124.5,1002,15,200901,Kujira
2009-05-02 18:00,热带风暴,13.6,124.5,1000,18,200901,Kujira
2009-05-03 00:00,热带风暴,13.9,124.6,996,20,200901,Kujira
2009-05-03 06:00,热带风暴,14.1,125.0,990,23,200901,Kujira
2009-05-03 12:00,强热带风暴,14.5,125.7,990,25,200901,Kujira
2009-05-03 18:00,强热带风暴,15.0,126.5,985,28,200901,Kujira
2009-05-04 00:00,强热带风暴,15.7,127.4,980,30,200901,Kujira
2009-05-04 06:00,台风,16.4,128.4,975,33,200901,Kujira
2009-05-04 12:00,台风,16.8,129.6,960,40,200901,Kujira
2009-05-04 18:00,强台风,17.1,131.1,950,45,200901,Kujira
2009-05-05 00:00,台风,17.6,132.7,960,40,200901,Kujira
2009-05-05 06:00,台风,18.3,134.0,960,40,200901,Kujira
2009-05-05 12:00,台风,18.8,135.4,960,40,200901,Kujira
2009-05-05 18:00,台风,19.5,136.9,960,40,200901,Kujira
2009-05-06 00:00,台风,20.4,138.2,960,40,200901,Kujira
2009-05-06 06:00,台风,21.6,139.9,960,40,200901,Kujira
2009-05-06 12:00,台风,22.7,141.3,965,38,200901,Kujira
2009-05-06 18:00,台风,24.2,142.9,975,33,200901,Kujira
2009-05-07 00:00,强热带风暴,26.0,143.8,985,28,200901,Kujira
2009-05-07 06:00,热带风暴,28.2,145.1,990,23,200901,Kujira
2009-05-07 12:00,温带气旋,30.2,147.3,995,18,200901,Kujira
2009-05-07 18:00,温带气旋,32.3,149.3,998,18,200901,Kujira
2009-05-08 00:00,温带气旋,34.4,150.9,1000,18,200901,Kujira
2009-05-02 18:00,热带扰动,9.6,111.0,1006,10,200902,Chan-hom
2009-05-03 00:00,热带低压,9.7,111.3,1004,13,200902,Chan-hom
2009-05-03 06:00,热带低压,9.7,111.5,1002,15,200902,Chan-hom
2009-05-03 12:00,热带风暴,9.9,111.7,998,18,200902,Chan-hom
2009-05-03 18:00,热带风暴,10.2,111.9,996,18,200902,Chan-hom
2009-05-04 00:00,热带风暴,10.5,112.2,996,18,200902,Chan-hom
2009-05-04 06:00,热带风暴,10.9,112.1,995,20,200902,Chan-hom
2009-05-04 12:00,热带风暴,11.2,112.0,990,23,200902,Chan-hom
2009-05-04 18:00,强热带风暴,11.4,112.0,990,25,200902,Chan-hom
2009-05-05 00:00,强热带风暴,11.6,112.0,985,28,200902,Chan-hom
2009-05-05 06:00,强热带风暴,12.1,111.8,985,28,200902,Chan-hom
2009-05-05 12:00,强热带风暴,12.7,112.0,985,28,200902,Chan-hom
2009-05-05 18:00,强热带风暴,13.3,112.5,985,28,200902,Chan-hom
2009-05-06 00:00,强热带风暴,13.6,113.0,985,28,200902,Chan-hom
2009-05-06 06:00,强热带风暴,14.1,113.9,985,28,200902,Chan-hom
2009-05-06 12:00,强热带风暴,14.4,114.7,980,30,200902,Chan-hom
2009-05-06 18:00,台风,14.8,116.0,975,33,200902,Chan-hom
2009-05-07 00:00,台风,15.3,117.3,975,33,200902,Chan-hom
2009-05-07 06:00,台风,15.8,118.7,970,35,200902,Chan-hom
2009-05-07 12:00,强热带风暴,16.5,120.2,975,30,200902,Chan-hom
2009-05-07 18:00,强热带风暴,17.1,121.6,990,25,200902,Chan-hom
2009-05-08 00:00,强热带风暴,17.2,123.3,990,25,200902,Chan-hom
2009-05-08 06:00,热带风暴,17.3,124.5,990,23,200902,Chan-hom
2009-05-08 12:00,热带风暴,17.2,125.9,995,20,200902,Chan-hom
2009-05-08 18:00,热带风暴,17.1,126.9,995,18,200902,Chan-hom
2009-05-09 00:00,热带低压,17.2,127.5,1000,15,200902,Chan-hom
2009-05-09 06:00,热带低压,17.4,128.0,1000,15,200902,Chan-hom
2009-05-09 12:00,热带低压,17.8,128.6,1000,15,200902,Chan-hom
2009-05-09 18:00,热带低压,18.5,128.4,1002,13,200902,Chan-hom
2009-05-10 00:00,热带低压,19.0,127.9,1004,13,200902,Chan-hom
2009-05-10 06:00,热带低压,19.7,128.0,1004,13,200902,Chan-hom
2009-05-10 12:00,热带低压,20.3,127.8,1004,13,200902,Chan-hom
2009-05-10 18:00,热带低压,20.9,127.6,1004,13,200902,Chan-hom
2009-05-11 00:00,热带低压,21.6,127.1,1004,13,200902,Chan-hom
2009-05-11 06:00,热带低压,21.7,126.7,1004,13,200902,Chan-hom
2009-05-11 12:00,热带扰动,22.3,127.1,1006,10,200902,Chan-hom
2009-05-11 18:00,热带扰动,23.1,127.1,1006,10,200902,Chan-hom
2009-05-12 00:00,热带扰动,23.8,126.9,1006,10,200902,Chan-hom
2009-05-12 06:00,热带扰动,24.3,127.2,1008,10,200902,Chan-hom
2009-05-12 12:00,热带扰动,24.8,127.9,1008,10,200902,Chan-hom
2009-05-12 18:00,热带扰动,25.3,128.3,1008,10,200902,Chan-hom
2009-05-13 00:00,热带扰动,25.7,128.7,1008,10,200902,Chan-hom
2009-06-17 06:00,热带低压,17.4,116.7,1002,13,200903,Linfa
2009-06-17 12:00,热带低压,17.7,116.6,1002,13,200903,Linfa
2009-06-17 18:00,热带低压,17.8,116.4,1002,15,200903,Linfa
2009-06-18 00:00,热带风暴,17.9,116.1,1000,18,200903,Linfa
2009-06-18 06:00,热带风暴,17.5,116.3,995,18,200903,Linfa
2009-06-18 12:00,热带风暴,17.3,116.6,995,18,200903,Linfa
2009-06-18 18:00,热带风暴,17.4,116.9,995,18,200903,Linfa
2009-06-19 00:00,热带风暴,17.8,117.2,995,20,200903,Linfa
2009-06-19 06:00,热带风暴,18.4,117.3,990,23,200903,Linfa
2009-06-19 12:00,强热带风暴,19.1,117.3,990,25,200903,Linfa
2009-06-19 18:00,强热带风暴,19.6,117.2,990,25,200903,Linfa
2009-06-20 00:00,强热带风暴,20.1,117.2,985,28,200903,Linfa
2009-06-20 06:00,强热带风暴,20.6,117.4,980,30,200903,Linfa
2009-06-20 12:00,强热带风暴,21.2,117.8,980,30,200903,Linfa
