time,level,lat,lon,pressure,wind,number,name
2007-03-30 12:00,热带低压,5.8,158.2,1006,12,200701,Kong-rey
2007-03-30 18:00,热带低压,6.3,158.1,1002,15,200701,Kong-rey
2007-03-31 00:00,热带低压,6.7,157.9,1002,15,200701,Kong-rey
2007-03-31 06:00,热带低压,7.1,156.6,1002,15,200701,Kong-rey
2007-03-31 12:00,热带低压,7.6,155.5,1000,15,200701,Kong-rey
2007-03-31 18:00,热带低压,8.4,154.2,1000,15,200701,Kong-rey
2007-04-01 00:00,热带风暴,9.7,152.8,998,18,200701,Kong-rey
2007-04-01 06:00,热带风暴,10.2,152.1,996,20,200701,Kong-rey
2007-04-01 12:00,热带风暴,10.4,151.4,990,23,200701,Kong-rey
2007-04-01 18:00,强热带风暴,11.0,150.8,990,25,200701,Kong-rey
2007-04-02 00:00,强热带风暴,12.1,149.6,985,28,200701,Kong-rey
2007-04-02 06:00,强热带风暴,13.4,148.9,980,30,200701,Kong-rey
2007-04-02 12:00,台风,14.5,147.7,980,33,200701,Kong-rey
2007-04-02 18:00,台风,15.2,146.8,975,33,200701,Kong-rey
2007-04-03 00:00,台风,16.1,145.8,970,35,200701,Kong-rey
2007-04-03 06:00,台风,16.9,144.7,970,35,200701,Kong-rey
2007-04-03 12:00,台风,17.7,144.3,960,40,200701,Kong-rey
2007-04-03 18:00,台风,18.7,144.3,960,40,200701,Kong-rey
2007-04-04 00:00,台风,20.0,144.3,965,40,200701,Kong-rey
2007-04-04 06:00,台风,21.0,145.1,970,35,200701,Kong-rey
2007-04-04 12:00,强热带风暴,22.0,146.5,980,30,200701,Kong-rey
2007-04-04 18:00,强热带风暴,22.8,148.0,990,25,200701,Kong-rey
2007-04-05 00:00,热带风暴,23.9,150.1,990,23,200701,Kong-rey
2007-04-05 06:00,热带风暴,25.1,152.5,996,18,200701,Kong-rey
2007-04-05 12:00,热带风暴,25.9,155.0,996,18,200701,Kong-rey
2007-04-05 18:00,热带低压,26.6,157.5,998,15,200701,Kong-rey
2007-04-06 00:00,温带气旋,27.0,160.0,1002,15,200701,Kong-rey
2007-05-15 06:00,热带低压,8.1,146.6,1004,12,200702,Yutu
2007-05-15 12:00,热带低压,8.2,146.2,1004,12,200702,Yutu
2007-05-15 18:00,热带低压,8.4,145.4,1004,12,200702,Yutu
2007-05-16 00:00,热带低压,8.9,144.7,1004,12,200702,Yutu
2007-05-16 06:00,热带低压,9.0,144.1,1002,15,200702,Yutu
2007-05-16 12:00,热带低压,9.0,143.2,1002,15,200702,Yutu
2007-05-16 18:00,热带低压,8.8,141.9,1000,15,200702,Yutu
2007-05-17 00:00,热带低压,8.9,140.7,1000,15,200702,Yutu
2007-05-17 06:00,热带风暴,9.2,139.1,995,18,200702,Yutu
2007-05-17 12:00,热带风暴,9.6,138.0,995,20,200702,Yutu
2007-05-17 18:00,热带风暴,10.5,137.1,990,23,200702,Yutu
2007-05-18 00:00,热带风暴,11.4,136.1,990,23,200702,Yutu
2007-05-18 06:00,强热带风暴,12.4,134.6,985,28,200702,Yutu
2007-05-18 12:00,强热带风暴,13.2,133.6,980,30,200702,Yutu
2007-05-18 18:00,台风,14.1,132.9,975,33,200702,Yutu
2007-05-19 00:00,台风,15.1,132.4,970,35,200702,Yutu
2007-05-19 06:00,台风,16.2,132.2,965,40,200702,Yutu
2007-05-19 12:00,台风,17.1,132.3,960,40,200702,Yutu
2007-05-19 18:00,强台风,17.7,132.7,950,45,200702,Yutu
2007-05-20 00:00,强台风,18.3,133.5,950,45,200702,Yutu
2007-05-20 06:00,强台风,19.0,134.3,950,45,200702,Yutu
2007-05-20 12:00,强台风,19.8,135.3,940,50,200702,Yutu
2007-05-20 18:00,强台风,20.8,136.4,940,50,200702,Yutu
2007-05-21 00:00,强台风,21.7,137.7,950,45,200702,Yutu
2007-05-21 06:00,强台风,22.9,139.1,950,45,200702,Yutu
2007-05-21 12:00,强台风,24.0,140.7,950,45,200702,Yutu
2007-05-21 18:00,台风,25.2,142.5,960,40,200702,Yutu
2007-05-22 00:00,台风,26.2,144.5,970,35,200702,Yutu
