time,level,lat,lon,pressure,wind,number,name
2001-05-09 12:00,热带低压,11.8,120.0,1004,12,200101,Cimaron
2001-05-09 18:00,热带低压,12.3,119.6,1004,12,200101,Cimaron
2001-05-10 00:00,热带低压,13.1,119.5,1004,12,200101,Cimaron
2001-05-10 06:00,热带低压,14.1,119.3,1002,15,200101,Cimaron
2001-05-10 12:00,热带低压,15.3,119.1,1002,15,200101,Cimaron
2001-05-10 18:00,热带低压,16.2,119.1,1002,15,200101,Cimaron
2001-05-11 00:00,热带低压,17.1,119.1,1000,15,200101,Cimaron
2001-05-11 06:00,热带风暴,17.6,119.1,998,18,200101,Cimaron
2001-05-11 12:00,热带风暴,18.1,119.2,998,18,200101,Cimaron
2001-05-11 18:00,热带风暴,18.5,119.5,995,20,200101,Cimaron
2001-05-12 00:00,热带风暴,18.9,119.9,990,23,200101,Cimaron
2001-05-12 06:00,热带风暴,19.5,120.4,990,23,200101,Cimaron
2001-05-12 12:00,热带风暴,20.0,121.0,990,23,200101,Cimaron
2001-05-12 18:00,热带风暴,20.5,121.2,990,23,200101,Cimaron
2001-05-13 00:00,热带风暴,21.1,121.7,990,23,200101,Cimaron
2001-05-13 06:00,强热带风暴,22.1,122.7,985,25,200101,Cimaron
2001-05-13 12:00,强热带风暴,23.1,123.6,985,25,200101,Cimaron
2001-05-13 18:00,强热带风暴,24.3,125.1,985,25,200101,Cimaron
2001-05-14 00:00,强热带风暴,25.6,126.5,985,25,200101,Cimaron
2001-05-14 06:00,热带风暴,26.7,128.0,990,20,200101,Cimaron
2001-05-14 12:00,热带风暴,27.2,129.1,998,18,200101,Cimaron
2001-05-14 18:00,热带低压,27.4,130.6,1000,15,200101,Cimaron
2001-05-15 00:00,热带低压,27.5,132.0,1002,15,200101,Cimaron
2001-05-15 06:00,热带低压,27.7,133.5,1002,15,200101,Cimaron
2001-05-15 12:00,热带低压,27.7,134.6,1004,12,200101,Cimaron
2001-06-19 18:00,热带低压,11.9,136.4,1004,12,200102,Chebi
2001-06-20 00:00,热带低压,12.1,134.9,1002,15,200102,Chebi
2001-06-20 06:00,热带风暴,13.1,133.1,998,18,200102,Chebi
2001-06-20 12:00,热带风暴,13.7,131.4,995,20,200102,Chebi
2001-06-20 18:00,热带风暴,14.1,129.2,995,20,200102,Chebi
2001-06-21 00:00,热带风暴,14.3,127.8,990,23,200102,Chebi
2001-06-21 06:00,热带风暴,15.1,127.1,990,23,200102,Chebi
2001-06-21 12:00,强热带风暴,16.0,125.9,985,25,200102,Chebi
2001-06-21 18:00,强热带风暴,17.2,124.8,985,25,200102,Chebi
2001-06-22 00:00,强热带风暴,18.4,123.5,980,30,200102,Chebi
2001-06-22 06:00,台风,19.5,122.3,970,35,200102,Chebi
2001-06-22 12:00,台风,20.5,121.2,970,35,200102,Chebi
2001-06-22 18:00,台风,21.0,119.9,970,35,200102,Chebi
2001-06-23 00:00,台风,22.2,119.4,960,40,200102,Chebi
2001-06-23 06:00,台风,23.4,119.2,970,35,200102,Chebi
2001-06-23 12:00,台风,24.8,119.4,970,35,200102,Chebi
2001-06-23 18:00,强热带风暴,26.5,119.7,980,30,200102,Chebi
2001-06-24 00:00,热带风暴,28.3,120.4,990,23,200102,Chebi
2001-06-24 06:00,热带风暴,30.1,122.1,995,20,200102,Chebi
2001-06-24 12:00,温带气旋,32.6,124.4,998,18,200102,Chebi
2001-06-24 18:00,温带气旋,35.6,128.7,1000,15,200102,Chebi
2001-06-25 00:00,温带气旋,37.1,131.9,1000,15,200102,Chebi
2001-06-25 06:00,温带气旋,38.0,135.5,1000,12,200102,Chebi
2001-06-29 06:00,热带低压,16.0,117.0,1002,15,200103,Durian
2001-06-29 12:00,热带低压,16.0,116.0,1000,15,200103,Durian
2001-06-29 18:00,热带低压,16.3,115.4,1000,15,200103,Durian
2001-06-30 00:00,热带低压,16.6,114.9,1000,15,200103,Durian
2001-06-30 06:00,热带风暴,17.3,114.6,998,18,200103,Durian
2001-06-30 12:00,热带风暴,18.1,114.4,990,23,200103,Durian
2001-06-30 18:00,热带风暴,18.8,113.8,990,23,200103,Durian
2001-07-01 00:00,强热带风暴,19.4,113.0,985,25,200103,Durian
2001-07-01 06:00,强热带风暴,19.8,112.3,980,28,200103,Durian
2001-07-01 12:00,台风,20.2,111.6,975,33,200103,Durian
2001-07-01 18:00,台风,20.8,110.8,970,35,200103,Durian
2001-07-02 00:00,台风,21.4,109.8,975,33,200103,Durian
2001-07-02 06:00,强热带风暴,21.6,108.8,980,28,200103,Durian
2001-07-02 12:00,热带风暴,22.0,108.0,990,23,200103,Durian
2001-07-02 18:00,热带风暴,22.3,107.1,992,18,200103,Durian
2001-07-03 00:00,热带低压,22.7,106.5,995,15,200103,Durian
2001-07-03 06:00,热带低压,22.7,105.1,995,15,200103,Durian
2001-07-03 12:00,热带低压,22.8,104.5,998,15,200103,Durian
2001-07-01 06:00,热带低压,7.2,138.5,1000,15,200104,Utor
2001-07-01 12:00,热带低压,7.8,138.1,995,15,200104,Utor
2001-07-01 18:00,热带低压,8.8,137.8,995,15,200104,Utor
2001-07-02 00:00,热带风暴,10.5,137.0,990,18,200104,Utor
2001-07-02 06:00,热带风暴,11.6,136.1,990,20,200104,Utor
2001-07-02 12:00,热带风暴,12.5,135.1,985,23,200104,Utor
2001-07-02 18:00,强热带风暴,13.3,133.6,980,25,200104,Utor
2001-07-03 00:00,强热带风暴,14.0,131.7,980,28,200104,Utor
2001-07-03 06:00,强热带风暴,15.3,129.7,975,30,200104,Utor
2001-07-03 12:00,台风,16.3,127.8,970,33,200104,Utor
2001-07-03 18:00,台风,17.4,126.1,965,35,200104,Utor
2001-07-04 00:00,台风,18.4,124.1,965,35,200104,Utor
2001-07-04 06:00,台风,18.9,122.1,965,35,200104,Utor
2001-07-04 12:00,台风,19.2,120.5,965,35,200104,Utor
2001-07-04 18:00,台风,19.5,119.9,965,35,200104,Utor
2001-07-05 00:00,台风,20.5,118.5,965,35,200104,Utor
2001-07-05 06:00,台风,20.9,117.5,965,35,200104,Utor
2001-07-05 12:00,台风,21.2,116.6,965,35,200104,Utor
2001-07-05 18:00,台风,21.8,116.0,965,35,200104,Utor
2001-07-06 00:00,强热带风暴,22.8,114.9,970,30,200104,Utor
2001-07-06 06:00,强热带风暴,23.0,113.5,980,25,200104,Utor
2001-07-06 12:00,热带风暴,23.3,112.5,985,20,200104,Utor
2001-07-06 18:00,热带风暴,23.5,111.4,988,18,200104,Utor
2001-07-07 00:00,热带低压,23.8,109.8,990,15,200104,Utor
2001-07-07 06:00,热带低压,23.5,108.4,992,15,200104,Utor
2001-07-07 12:00,热带低压,23.6,107.5,995,12,200104,Utor
2001-07-07 18:00,热带扰动,23.6,106.5,997,10,200104,Utor
2001-07-08 00:00,热带低压,12.8,128.8,1004,12,200105,Trami
2001-07-08 06:00,热带低压,14.5,128.0,1004,12,200105,Trami
2001-07-08 12:00,热带低压,15.8,127.4,1004,12,200105,Trami
2001-07-08 18:00,热带低压,16.8,126.7,1004,15,200105,Trami
2001-07-09 00:00,热带低压,17.5,126.2,1004,15,200105,Trami
2001-07-09 06:00,热带低压,18.2,125.5,1002,15,200105,Trami
2001-07-09 12:00,热带低压,18.9,125.0,1000,15,200105,Trami
2001-07-09 18:00,热带低压,19.6,124.4,998,15,200105,Trami
2001-07-10 00:00,热带低压,20.0,124.0,998,15,200105,Trami
2001-07-10 06:00,热带风暴,20.4,123.4,995,18,200105,Trami
2001-07-10 12:00,热带风暴,20.8,122.8,995,18,200105,Trami
2001-07-10 18:00,热带风暴,21.3,122.3,995,20,200105,Trami
2001-07-11 00:00,热带风暴,21.7,122.0,995,20,200105,Trami
2001-07-11 06:00,热带风暴,22.2,121.2,995,20,200105,Trami
2001-07-11 12:00,热带风暴,22.6,120.6,996,18,200105,Trami
2001-07-11 18:00,热带风暴,23.0,120.0,996,18,200105,Trami
2001-07-12 00:00,热带低压,23.6,119.4,998,15,200105,Trami
2001-07-12 06:00,热带低压,24.6,119.3,1000,12,200105,Trami
2001-07-21 06:00,热带低压,24.0,151.7,1008,12,200106,Kong-rey
2001-07-21 12:00,热带低压,24.5,151.5,1006,15,200106,Kong-rey
2001-07-21 18:00,热带低压,24.8,151.1,1004,15,200106,Kong-rey
2001-07-22 00:00,热带低压,25.0,150.3,1000,15,200106,Kong-rey
2001-07-22 06:00,热带风暴,25.2,149.7,996,18,200106,Kong-rey
